Identifiant;Nom Etablissement;Numéro Siret;Adresse;Code Postal;Commune;Departement;Region;coordonnées_x;coordonnées_y;Code APE;Libellé APE;Code Eprtr;Libelle Eprtr;coordonnees
052.02483;AFM Recyclage;38348263500208;14 -  rue Chapelet  ZA La Négresse;64200;BIARRITZ;PYRENEES-ATLANTIQUES;AQUITAINE;285551.66;1836748.81;3831Z;Démantèlement d'épaves;;;43.4629428274, -1.54463924879
052.05559;STEICO Casteljaloux;34751793000017;Route de Cocumont;47700;CASTELJALOUX;LOT-ET-GARONNE;AQUITAINE;420312;1926164;1621Z;Fabrication de placage et de panneaux de bois;;;44.3134431682, 0.0858609656153
062.06536;GDE METALLIFER GROUPE ECORE;65382053000802;100 Rue des Généraux Altmayer;57500;SAINT-AVOLD;MOSELLE;LORRAINE;920685.3;2467979.32;3832Z;Récupération de déchets triés;;;49.129087388, 6.72962584269
063.00949;AIRBUS Operations SAS;42091691800055;Route de l'aviation  BP81925;44019;NANTES;LOIRE-ATLANTIQUE;PAYS-DE-LA-LOIRE;302379;2247737;3030Z;Construction aéronautique et spatiale;2.(f);Installations de traitement de surface de métaux et des matières plastiques utilisant un procédé électrolytique ou chimique lorsque le volume des cuves affectées au traitement est égal à 30 m3;47.1624729268, -1.59057783883
063.01102;ELECTROPOLI PRODUCTION;42045417500043;ZI de Chacé;49400;SAUMUR;MAINE-ET-LOIRE;PAYS-DE-LA-LOIRE;418503.67;2248548.31;2561Z;Traitement et revêtement des métaux;2.(f);Installations de traitement de surface de métaux et des matières plastiques utilisant un procédé électrolytique ou chimique lorsque le volume des cuves affectées au traitement est égal à 30 m3;47.211787559, -0.0598935584886
063.01325;Société Normande de nettoiement;78826162600063;1 lieu dit la Noé de Geigne;72610;ARCONNAY;SARTHE;PAYS-DE-LA-LOIRE;432644.68;2380618.52;3821Z;Traitement et élimination des déchets non dangereux;;;48.4027908654, 0.0765724888043
063.01416;Candia Campbon;35354335800058;LA FONDINAIS;44750;CAMPBON;LOIRE-ATLANTIQUE;PAYS-DE-LA-LOIRE;275460;2277580;1051A;Fabrication de lait liquide et de produits frais;8.(c);Traitement et transformation du lait d'une capacité de traitement de 200 tonnes de lait par jour (valeur moyenne sur une base annuelle);47.4178812458, -1.96663783543
054.25537;DUC S.A.;72262116600049;R.D. 30;89770;CHAILLEY;YONNE;BOURGOGNE;701740.31;2343017.43;1012Z;Transformation et conservation de la viande de volaille;8.(a);Abattoirs d'une capacité de production de 50 tonnes de carcasses par jour;48.0784169826, 3.70181999322
055.00302;PRODHYNET;38893761700016;ZI des Châtelets;22440;PLOUFRAGAN;COTES-D'ARMOR;BRETAGNE;221900;2397500;2041Z;Fabrication de savons -  détergents et produits d'entretien;;;48.4655317123, -2.77832435985
055.00802;SARP OUEST - SANIROISE - Agence de Guilers;32081659800173;ZI du buis;29820;GUILERS;FINISTERE;BRETAGNE;90162;2402452;3700Z;Collecte et traitement des eaux usées;;;48.4195117893, -4.55835030145
064.00528;Charles FARAUD SAS;32802489800046;ZI La Tapy - Avenue de Gladenbach;84170;MONTEUX;VAUCLUSE;PROVENCE-ALPES-COTE-D'AZUR;811651.91211618;1895683.1363705;1039B;Transformation et conservation de fruits;;;44.0306016599, 4.97455000373
055.01646;RECUP AUTO;37964534400019;Route de Malachappe;56850;CAUDAN;MORBIHAN;BRETAGNE;175100;2327699;4677Z;Commerce de gros (commerce interentreprises) de déchets et débris;;;47.8104903232, -3.34121819552
053.04920;Les Champignonnières de Fleury sur Orne;31048411800016;Rue de Quilly;14680;BRETTEVILLE-SUR-LAIZE;CALVADOS;BASSE-NORMANDIE;405280;2452955;0113Z;Culture de légumes -  de melons -  de racines et de tubercules;;;49.0449550849, -0.325779736982
055.01172;MERALLIANCE ARMORIC;34404275900037;55 -  avenue de Kéradennec;29556;QUIMPER;FINISTERE;BRETAGNE;121700;2350450;1020Z;Transformation et conservation de poisson -  de crustacés et de mollusques;;;47.9775848025, -4.07655348972
061.02009;UGIVIS;31976215900014;Z .I ROUTE DES ECASSAZ;01301;BELLEY;AIN;RHONE-ALPES;860551;2090078;2594Z;Fabrication de vis et de boulons;;;45.7610533682, 5.68655705712
055.04590;API (DECHARGE);48322340000019;Bréleau;56800;PLOERMEL;MORBIHAN;BRETAGNE;246313;2336393;2452Z;Fonderie d'acier;;;47.9309084612, -2.39915399793
051.00413;SOCIETE D'EXPLOITATION DES ABATTOIRS DE LAON (SEDAL);69168022700010;;02000;LAON;AISNE;PICARDIE;694019;2508811;1011Z;Transformation et conservation de la viande de boucherie;;;49.5694330491, 3.63495346138
13 rue Anthoine;13002;MARSEILLE;BOUCHES-DU-RHONE;PROVENCE-ALPES-COTE-D'AZUR;846108.47;1817382.8;6820B;Location de terrains et d'autres biens immobiliers;;;;;;
057.01603;Ateliers ROCHE;33578009400017;15 boulevard Marcelin BERTHELOT;51052;REIMS;MARNE;CHAMPAGNE-ARDENNES;723707;2474468;2562B;Mécanique industrielle;;;49.2559065695, 4.03460865493
055.00431;SODIMAC;35162556100011;Bourg de Saint Potan BP8;22550;SAINT-POTAN;COTES-D'ARMOR;BRETAGNE;258400;2405400;2511Z;Fabrication de structures métalliques et de parties de structures;;;48.556743066, -2.2920496377
051.05558;Sandvik SMC Chauny S.A.S.;43824810600033;Rue Louis Blanc;02300;CHAUNY;AISNE;PICARDIE;663800;2513600;2892Z;Fabrication de machines pour l'extraction ou la construction;;;49.6162021928, 3.21839569274
055.14372;EUROPEENNE DE SERVICES;41312543600019;ZI LESNEVEN NORD RUE DE L IRLANDE;29119;CHATEAUNEUF-DU-FAOU;FINISTERE;BRETAGNE;649517.19281043;2333623.1446107;4322B;Travaux d'installation d'équipements thermiques et de climatisation;;;48.0000018876, 3.00000000467
055.14674;BABOLAT;55213140100085;;56800;PLOERMEL;MORBIHAN;BRETAGNE;246313;2336393;364Z;Fabrication d'articles de sport;;;47.9309084612, -2.39915399793
057.03537;S.A. ROUGHOL;73562055100037;1 RUE CHARLES CROS BP 40134;51008;CHALONS-SUR-MARNE;MARNE;CHAMPAGNE-ARDENNES;751600;2440350;3900Z;Dépollution et autres services de gestion des déchets;;;48.9434215706, 4.40501270881
055.14680;STATION D'EPURATION SOCAVI;40160124000013;;56440;LANGUIDIC;MORBIHAN;BRETAGNE;188959;2329265;151C;Production de viandes de volailles;;;47.8333907362, -3.15810054387
058.01852;AUCHAN;41040946001598;centre commercial du belvédère;76200;DIEPPE;SEINE-MARITIME;HAUTE-NORMANDIE;509581.22;2546627.99;4730Z;Commerce de détail de carburants en magasin spécialisé;;;49.9094891185, 1.07939198322
065.06325;SOCLIS;30368826100039;24 -  rue Pagès;92150;SURESNES;HAUTS-DE-SEINE;ILE-DE-FRANCE;592426.245;2429824.632;3530Z;Production et distribution de vapeur et d'air conditionné;1.(c);Centrales thermiques et autres installations de combustion avec un apport thermiques de 50 MW;48.8667000007, 2.23333000032
061.03619;Chaufferie des Vernes;45650053701420;;69700;GIVORS;RHONE;RHONE-ALPES;790141;2067686;403Z;Production et distribution de chaleur;;;45.5830423279, 4.77303660204
065.06493;CHAUFFERIE A CENTRE;41351367200019;RUE BERNARD HALPERN;94000;CRETEIL;VAL-DE-MARNE;ILE-DE-FRANCE;608735.52;2420831.65;3530Z;Production et distribution de vapeur et d'air conditionné;;;48.7858609346, 2.45532324334
061.03925;GESTAMP NOURY;39080395500058;;69680;CHASSIEU;RHONE;RHONE-ALPES;804628;2085014;284B;Découpage -  emboutissage;;;45.7346555645, 4.96596505083
553.01693;GAEC du GRAND BEAUCHENE;33809417000010;Le Grand Beauchêne;53500;MONTENAY;MAYENNE;PAYS-DE-LA-LOIRE;359988;2369989;0146Z;Élevage de porcins;7.(a).(ii);disposant de 2 000 emplacements pour porcs de production (de plus de 30 kg);48.284446221, -0.89772503966
068.02184;MIRABEAU;38900931700022;6 bis rue Mirabeau;09300;LAVELANET;ARIEGE;MIDI-PYRENEES;560037;1770031;1330Z;Ennoblissement textile;;;42.9321679592, 1.84804587135
56201026;Le Guyader Pierre;53752233600016;COAT VOD VIHAN;56110;LE SAINT;MORBIHAN;BRETAGNE;160962;2359923;0147Z;Élevage de volailles;7.(a).(i);disposant de 40 000 emplacements pour la volaille;48.0901359699, -3.56170057688
221.00006;ALBIOMA LE MOULE;40321556900027;Section Gardel;97160;Le Moule;GUADELOUPE;GUADELOUPE;679466.14098423;1803988.2181238;3511Z;Production d'électricité;1.(c);Centrales thermiques et autres installations de combustion avec un apport thermiques de 50 MW;43.2339262606, 3.31313993431
221.00016;Energie Antilles;41427715200032;ZI de JARRY Pointe sud de Jarry Face WTC;97122;Baie-Mahault;GUADELOUPE;GUADELOUPE;650674.3986759;1798214.6602156;3511Z;Production d'électricité;;;43.184682561, 2.95877423852
221.00093;CARIBEENNE DE RECYCLAGE;42965827100011;Impasse J. Fournier - ZI de Jarry;97122;Baie-Mahault;GUADELOUPE;GUADELOUPE;653985.94397982;1797257.5285664;3821Z;Traitement et élimination des déchets non dangereux;;;43.1758403021, 2.99933370069
222.00062;POTERIE DES TROIS ILETS S.A.;30319108400019;Village de la Poterie;97229;Les Trois-Îlets;MARTINIQUE;MARTINIQUE;711132.22096137;1606763.1444052;2332Z;Fabrication de briques -  tuiles et produits de construction -  en terre cuite;3.(g);Installations destinées à la fabrication de produits céramiques par cuisson -  notamment de tuiles -  de briques (simples ou réfractaires) -  de carrelages -  de grès ou de porcelaines d'une capacité de production de 75 tonnes par jour -  ou d'une capacité de four de 4 m3 et d'une densité d'enfournement de 300 kg/m3 par four;41.4594931945, 3.66139120901
246.00015;GRTgaz - Station de Compression de PALLEAU;44011762001233;Station de Compression Ligne de Palleau Le Chêne à la Guilleminotte;71350;PALLEAU;SAONE-ET-LOIRE;BOURGOGNE;805227;2223358;4950Z;Transports par conduites;;;46.9784095853, 5.03464107915
247.00008;PURFER;33262817100362;23 rue Louis-Alphonse Poitevin;71380;SAINT-MARCEL;SAONE-ET-LOIRE;BOURGOGNE;793336.15054924;2199627.6971085;3832Z;Récupération de déchets triés;5.(c);Installations destinées à l'élimination des déchets non dangereux d'une capacité de 50 tonnes par jour;46.7685978214, 4.86838100393
253.00068;LCB;68665027600013;71 Route Nationale 6;71260;LA SALLE;SAONE-ET-LOIRE;BOURGOGNE;795146.47;2159591.73;2020Z;Fabrication de pesticides et d'autres produits agrochimiques;4.(d);Installations chimiques destinées à la fabrication industrielle de produits phytosanitaires et de biocides;46.4080650898, 4.8751482814
