nom,codeCommune,nomCommune,cp,designationAPE,designationEPRTR
E3D Environnement,77455,Soignolles-en-Brie,77111,Démantèlement d'épaves,5.(a),Installations pour la valorisation ou l'élimination des déchets dangereux recevant 10 tonnes par jour
AD TAF Traitements Thermiques,92036,Gennevilliers,92230,Traitement et revêtement des métaux,,
Distillerie La Cavale,11289,Pieusse,11300,Production de boissons alcooliques distillées,,
MONSANTO SAS,11397,Trèbes,11800,"Commerce de gros (commerce interentreprises) de céréales, de tabac non manufacturé, de semences et d'aliments pour le bétail",,
TERREIL EURL,30189,Nîmes,30000,Commerce de voitures et de véhicules automobiles légers,,
SEVIA,30321,Sommières,30250,Collecte des déchets dangereux,,
sarl d exploitation agde auto pieces,34003,Agde,34300,Commerce de détail d'équipements automobiles,,
TRIADIS Services-Béziers,34336,Villeneuve-lès-Béziers,34420,Collecte des déchets dangereux,5.(a),Installations pour la valorisation ou l'élimination des déchets dangereux recevant 10 tonnes par jour
SARL SAR-FER,34079,Clermont-l'Hérault,34800,Récupération de déchets triés,,
DELTA RECYCLAGE,34127,Lansargues,34130,Récupération de déchets triés,,
ARTISANS REUNIS 34,34172,Montpellier,34070,Entretien et réparation de véhicules automobiles légers,,
Languedoc Granulats,34255,Saint-Gély-du-Fesc,34980,"Exploitation de gravières et sablières, extraction d'argiles et de kaolin",3.(b),Extraction à ciel ouvert et exploitation en carrière lorsque la surperficie du site où sont effectuées des opérations d'extraction est égale à 25 hectares
RECUP AUTO ETS HUFFSCHMITT,34329,Vendres,34350,Commerce de voitures et de véhicules automobiles légers,,
VILLENEUVE-les-MAGUELONE,34337,Villeneuve-lès-Maguelone,34750,"Exploitation de gravières et sablières, extraction d'argiles et de kaolin",3.(b),Extraction à ciel ouvert et exploitation en carrière lorsque la surperficie du site où sont effectuées des opérations d'extraction est égale à 25 hectares
BANYOLS RENE CASS'AUTO 66 SARL,66065,Elne,66200,Commerce de détail d'équipements automobiles,,
DEMOLITION AUTOS MARTY PIA,66141,Pia,66380,Démantèlement d'épaves,,
TRIADIS Services-Rivesaltes,66164,Rivesaltes,66600,Collecte des déchets dangereux,5.(a),Installations pour la valorisation ou l'élimination des déchets dangereux recevant 10 tonnes par jour
LINARES SOEURS SARL,66174,Saint-Féliu-d'Avall,66170,Récupération de déchets triés,,
SARL DELCLOS ET FILS,66178,Saint-Jean-Pla-de-Corts,66490,Récupération de déchets triés,,
BIANCONE SARL,30032,Beaucaire,30300,Commerce de voitures et de véhicules automobiles légers,,
PURFER,34032,Béziers,34500,Récupération de déchets triés,,
AUTO PIECES 66 (DEREY),66144,Pollestres,66450,Démantèlement d'épaves,,
ETS SABATIE,66037,Canet-en-Roussillon,66140,Commerce de voitures et de véhicules automobiles légers,,
CHIMIREC Massif Central,48095,Mende,48000,Collecte des déchets dangereux,,
CASSE AUTO 114,66168,Saint-André,66690,Démantèlement d'épaves,,
NIM'TOUT TERRAIN SAS,30156,Marguerittes,30320,Entretien et réparation de véhicules automobiles légers,,
CHRYSOTILE Environnement,30034,Bellegarde,30127,Collecte des déchets non dangereux,5.(c),Installations destinées à l'élimination des déchets non dangereux d'une capacité de 50 tonnes par jour
Suez RV Méditerranée - NEOVAL,30305,Salindres,30340,Collecte des déchets non dangereux,,
STOEFFLER,67348,Obernai,67210,Préparation industrielle de produits à base de viande,8.(b).(i),matières premières animales (autres que le lait) d'une capacité de production de produits finis de 75 tonnes par jour
Cernay Environnement,68063,Cernay,68703,Récupération de déchets triés,,
schroll,68066,Colmar,68000,Récupération de déchets triés,5.(c),Installations destinées à l'élimination des déchets non dangereux d'une capacité de 50 tonnes par jour
ETS OBERT,67218,Illkirch-Graffenstaden,67400,Démantèlement d'épaves,,
CINE SAS,67520,Wasselonne,67310,"Fabrication de savons, détergents et produits d'entretien",,
SOCIETE AJ AUTO DEMOLITION,67061,Bouxwiller,67330,Commerce de voitures et de véhicules automobiles légers,,
THK MANUFACTURING OF EUROPE,68082,Ensisheim,68190,Fabrication d'engrenages et d'organes mécaniques de transmission,,
EURL TOMASINA,67471,Souffelweyersheim,67460,Récupération de déchets triés,,
STRIEBIG LOGISTIQUE,67184,Hatten,67690,Affrètement et organisation des transports,,
SEVIA,67482,Strasbourg,67000,Collecte des déchets dangereux,,
SCHROLL,68256,Pfastatt,68120,Récupération de déchets triés,5.(c),Installations destinées à l'élimination des déchets non dangereux d'une capacité de 50 tonnes par jour
THOMAS AUTOMOBILES,68348,Vieux-Thann,68800,Entretien et réparation de véhicules automobiles légers,,
GDE-Metalifer groupe Ecore,68154,Illzach,68110,Récupération de déchets triés,,
Granulats VICAT,31107,Carbonne,31390,"Exploitation de gravières et sablières, extraction d'argiles et de kaolin",3.(b),Extraction à ciel ouvert et exploitation en carrière lorsque la surperficie du site où sont effectuées des opérations d'extraction est égale à 25 hectares
MIDI PYRENEES GRANULATS SITE DE GRENADE,31232,Grenade,31330,"Exploitation de gravières et sablières, extraction d'argiles et de kaolin",,
CEMEX Granulats Sud Ouest,31525,Salles-sur-Garonne,31390,"Exploitation de gravières et sablières, extraction d'argiles et de kaolin",3.(b),Extraction à ciel ouvert et exploitation en carrière lorsque la surperficie du site où sont effectuées des opérations d'extraction est égale à 25 hectares
CARRIERES DE VIC - Site de Vic Adour,65460,Vic-en-Bigorre,65500,"Exploitation de gravières et sablières, extraction d'argiles et de kaolin",3.(b),Extraction à ciel ouvert et exploitation en carrière lorsque la surperficie du site où sont effectuées des opérations d'extraction est égale à 25 hectares
CEMEX Granulats Sud Ouest,81004,Albi,81000,Activités de soutien aux autres industries extractives,,
GEOPETROL SA SUD OUEST,65269,Lescurry,65140,Extraction de pétrole brut,,
VEOLIA PROPRETE Midi-Pyrénées - site de Tarbes,65440,Tarbes,65000,Collecte des déchets non dangereux,,
ARIEGE DECHETS,09157,Laroque-d'Olmes,09600,Collecte des déchets dangereux,,
edecimo recuperation,09324,Varilhes,09120,Récupération de déchets triés,,
COMMINGES METAUX SERVICES,31390,Montréjeau,31210,Récupération de déchets triés,,
MENUISERIES ARIEGEOISES,09272,Saint-Paul-de-Jarrat,09000,"Fabrication d'objets divers en bois , fabrication d'objets en liège, vannerie et sparterie",,
SAS PERE,31196,Francon,31420,Récupération de déchets triés,,
BOARIN DAVID,31107,Carbonne,31390,Entretien et réparation de véhicules automobiles légers,,
C3L,46095,Espère,46090,Fabrication d'autres produits minéraux non métalliques n.c.a.,,
SARL COMA RENE METAUX ET FILS,31202,Fronton,31620,Récupération de déchets triés,,
COMPTOIR DU REEMPLOI ( CENTRE VHUS),31395,Muret,31600,Commerce de détail d'équipements automobiles,,
SASU DEMOLITION AUTOMOBILE AUTERIVE,31033,Auterive,31190,Commerce de détail d'équipements automobiles,,
eurl lepinay ordi,31555,Toulouse,31100,Dépollution et autres services de gestion des déchets,,
VEOLIA PROPRETE Midi-Pyrénées - site de Toulouse,31555,Toulouse,31200,Collecte des déchets non dangereux,,
PHILIPPE RUBIO SAS,65226,Ibos,65420,Commerce de gros (commerce interentreprises) de déchets et débris,,
BIGORRE METAUX SERVICES,65010,Angos,65690,Démantèlement d'épaves,,
SARL AMERICAFER,31555,Toulouse,31200,Récupération de déchets triés,,
SARL DELILE ET FILS,32107,Condom,32100,Récupération de déchets triés,,
J'AUTOCASS SAS,32369,Sainte-Christie-d'Armagnac,32370,Commerce de voitures et de véhicules automobiles légers,,
ETABLISSEMENT LLAU JEAN JACQUES,32244,Maulichères,32400,Récupération de déchets triés,,
SARL TACOT 32,32307,Pavie,32550,Commerce de voitures et de véhicules automobiles légers,,
ETS Ducournau Patrick,32027,Barcelonne-du-Gers,32720,Récupération de déchets triés,,
SARL PREIGNAN AUTOMOBILE,32331,Preignan,32810,Commerce de voitures et de véhicules automobiles légers,,
RAGT SEMENCES,12043,Calmont,12450,Autres activités du travail des grains,,
Déchetterie ECOSUD,82121,Montauban,82000,Traitement et élimination des déchets non dangereux,,
SARL BELLE ET FILS,12241,Sainte-Radegonde,12850,Récupération de déchets triés,,
Paprec Sud Ouest,31091,Bruguières,31150,Récupération de déchets triés,,
BRIANE ENVIRONNEMENT,81257,Saint-Juéry,81160,Récupération de déchets triés,1.(e),Broyeurs à charbon d'une capacité d'une tonne heure
Renault Retail Group Toulouse Etats Unis,31555,Toulouse,31016,Commerce de voitures et de véhicules automobiles légers,,
ECO RECUPERATION établissement CMS,31091,Bruguières,31150,Récupération de déchets triés,,
ENROBES TARBES,65146,Chis,65800,Fabrication d'autres produits minéraux non métalliques n.c.a.,,
NUTRITION & NATURE,31451,Revel,31250,Fabrication d'aliments homogénéisés et diététiques,,
SAFETYKLEEN,31091,Bruguières,31150,Commerce de gros (commerce interentreprises) de fournitures et équipements industriels divers,,
KIT AUTO,65286,Lourdes,65100,Commerce de voitures et de véhicules automobiles légers,,
LAUAK FRANCE USINAGE,32160,L'Isle-Jourdain,32600,Fabrication de structures métalliques et de parties de structures,,
garage Courtinat,31483,Saint-Gaudens,31800,Commerce de gros (commerce interentreprises) de déchets et débris,,
Usine de Soual,81289,Soual,81580,Fabrication de parfums et de produits pour la toilette,,
VALLOUREC DRILLING PRODUCTS FRANCE,65440,Tarbes,65000,Réparation d'ouvrages en métaux,,
DECONS Portet,31433,Portet-sur-Garonne,31120,Démantèlement d'épaves,,
C3L,81065,Castres,81100,Fabrication d'autres produits minéraux non métalliques n.c.a.,,
GARAGE INTERNATIONAL HERNANDEZ,31116,Castelginest,31780,Entretien et réparation de véhicules automobiles légers,,
DECONS Aucamville,31022,Aucamville,31140,Démantèlement d'épaves,,
SARL.OLIVIER.FILS,31451,Revel,31250,Commerce de gros (commerce interentreprises) de déchets et débris,,
CASSE AUTO GIMONTOISE,32147,Gimont,32200,Commerce de détail d'équipements automobiles,,
NADAL SA,31555,Toulouse,31203,Récupération de déchets triés,,
DETAIL AUTO / DALUZ MARIO,09225,Pamiers,09100,Commerce de détail d'équipements automobiles,,
JACKY RECUPERATION AUTOS,31395,Muret,31600,Commerce de gros (commerce interentreprises) de déchets et débris,,
AB7 INDUSTRIES,31161,Deyme,31450,Fabrication d'autres produits chimiques n.c.a.,4.(d),Installations chimiques destinées à la fabrication industrielle de produits phytosanitaires et de biocides
BACQUIE AUTOMOBILES SAS,32132,Fleurance,32500,Entretien et réparation de véhicules automobiles légers,,
SARL FUMECO-LEZE,09019,Artigat,09130,Commerce de gros (commerce interentreprises) de produits chimiques,,
sud ouest automobiles,31022,Aucamville,31140,Commerce de détail d'équipements automobiles,,
SARL ETS VIU,32119,Eauze,32800,Démantèlement d'épaves,,
sas Guy Dengasc et Fils,81070,Coufouleux,81800,Récupération de déchets triés,,
METAL TECHNIC,31395,Muret,31600,Traitement et revêtement des métaux,,
cortina joel,31499,Saint-Lys,31470,Commerce de voitures et de véhicules automobiles légers,,
Nutrition et Santé,31451,Revel,31250,Fabrication d'aliments homogénéisés et diététiques,,
SARL DELILE ET FILS,32013,Auch,32000,Récupération de déchets triés,,
SMDEA,09336,Villeneuve-d'Olmes,09300,"Captage, traitement et distribution d'eau",,
ALISAERO,32378,Saint-Germé,32400,Fabrication de structures métalliques et de parties de structures,9.(c),"Installations destinées au traitement de surface de matières, d'objets ou de produits à l'aide de solvants organiques, notamment pour les opérations d'apprêt, d'impression, de revêtement, de dégraissage, d'imperméabilisation, de collage, de peinture, de nettoyage ou d'imprégnation d'une capacité de consommation de 150 kg par heures ou 200 tonnes par an"
Syndicat Départemental des Ordures Ménagères (SYDOM) de l'Aveyron,12300,Villefranche-de-Rouergue,12200,Traitement et élimination des déchets non dangereux,5.(d),"Décharges, à l'exception des décharges de déchets inertes et des décharges qui ont été définitivement fermées avant le 16 juillet 2001 ou dont la phase de gestion après désaffection requise par les autorités compétentes conformément à l'article 13 de la directive 1999/31/CE du Conseil du 26 avril 1999 concernant la mise en décharge des déchets s'est achevée recevant 10 tonnes par jour ou d'une capacité totale de 25 000 tonnes"
ETS FAURE,09185,Mazères,09270,Récupération de déchets triés,,
TRIFYL,81120,Labruguière,81290,Traitement et élimination des déchets non dangereux,,
Station de transfert de Daturas,31555,Toulouse,31200,Collecte des déchets non dangereux,,
Coloris production,09225,Pamiers,09100,"Fabrication de peintures, vernis, encres et mastics",,
ASI MAINTENANCE,31157,Cugnaux,31270,Réparation et maintenance d'aéronefs et d'engins spatiaux,,
ETE RESEAUX,31433,Portet-sur-Garonne,31120,Construction de réseaux électriques et de télécommunications,,
FRIGOPOLIS,31555,Toulouse,31200,Récupération de déchets triés,5.(a),Installations pour la valorisation ou l'élimination des déchets dangereux recevant 10 tonnes par jour
SCOPELEC,31446,Ramonville-Saint-Agne,31520,Fabrication d'équipements de communication,,
SASU MAZAUD,31084,Boussens,31360,Construction de réseaux électriques et de télécommunications,,
COMMUNAUTE DE COMMUNES DU GRAND VILLEFRANCHOIS,12300,Villefranche-de-Rouergue,12200,Administration publique générale,,
SEVA,31157,Cugnaux,31270,Construction de réseaux électriques et de télécommunications,,
Arianespace-Kourou/ELS,97304,KOUROU,97388,Transports spatiaux,,
Arianespace-Kourou/SLV,97304,KOUROU,97388,Transports spatiaux,,
DOUAISIENNE D'ABATTAGE,59178,Douai,59500,Transformation et conservation de la viande de boucherie,8.(a),Abattoirs d'une capacité de production de 50 tonnes de carcasses par jour
MARQUISE (Les Enrobés de),62560,Marquise,62250,Fabrication d'autres produits minéraux non métalliques n.c.a.,,
AVITAIR,59343,Lesquin,59810,Commerce de détail de carburants en magasin spécialisé,,
AUCHAN LOUVROIL,59365,Louvroil,59720,Hypermarchés,,
AUCHAN RONCQ,59508,Roncq,59223,Hypermarchés,,
HENAUX bal boyelles,62172,Boyelles,62128,Commerce de gros (commerce interentreprises) de déchets et débris,,
KNAUF Industries Nord,62041,Arras,62000,Fabrication d'emballages en matières plastiques,,
R.L.S.T. (Localinge),62244,Coulogne,62137,Location et location-bail d'autres biens personnels et domestiques,,
Paprec Nord,62413,Harnes,62440,Récupération de déchets triés,,
AMBRE,62321,Évin-Malmaison,62141,Travaux de terrassement courants et travaux préparatoires,,
REVIVAL,62525,Longuenesse,62219,Démantèlement d'épaves,,
UNEAL usine d'aliments pour bétail,62014,Aire-sur-la-Lys,62120,Fabrication d'aliments pour animaux de ferme,8.(b).(ii),matières premières végétales d'une capacité de production de produits finis de 300 tonnes par jour (valeur moyenne sur une base trimestrielle)
SMFM-FLAMOVAL,62040,Arques,62510,Traitement et élimination des déchets non dangereux,5.(b),Installations destinées à l'incinération des déchets non dangereux dans le cadre de la directive 2000/76/CE du Parlement européen et du Conseil du 4 décembre 2000 sur l'incinération des déchets d'une capacité de 3 tonnes par heure
Transpole - Site bus - SEQUEDIN,59566,Sequedin,59320,Transports urbains et suburbains de voyageurs,,
Keolis Lille - Site bus - WATTRELOS,59650,Wattrelos,59150,Transports urbains et suburbains de voyageurs,,
MVS,62240,Corbehem,62112,Fabrication d'autres produits minéraux non métalliques n.c.a.,,
CENTRE DE TRI DU SMICTOM DES FLANDRES,59582,Strazeele,59270,Traitement et élimination des déchets non dangereux,,
COMPOST DU MAZE,59611,Verlinghem,59237,Traitement et élimination des déchets non dangereux,,
TERRALYS - Fertiopale,62308,Escoeuilles,62850,Traitement et élimination des déchets non dangereux,,
LUMIVEROPTIM,59560,Seclin,59113,Récupération de déchets triés,,
Déchèterie de Dainville,62263,Dainville,62000,Collecte des déchets non dangereux,,
Déchèterie de Bapaume,62080,Bapaume,62450,Collecte des déchets non dangereux,,
Ets.G.VERBRUGGE,59350,Lille,59000,Traitement et revêtement des métaux,2.(f),Installations de traitement de surface de métaux et des matières plastiques utilisant un procédé électrolytique ou chimique lorsque le volume des cuves affectées au traitement est égal à 30 m3
SUEZ RV REUNION - Station de transit et de prétraitement d'huiles usagées,97415,SAINT-PAUL,97460,Traitement et élimination des déchets dangereux,,
URCOOPA,97415,SAINT-PAUL,97460,Fabrication d'aliments pour animaux de ferme,8.(b).(ii),matières premières végétales d'une capacité de production de produits finis de 300 tonnes par jour (valeur moyenne sur une base trimestrielle)
STAR - Plateforme de transit de déchets dangereux,97409,SAINT-ANDRE,97440,Traitement et élimination des déchets dangereux,5.(a),Installations pour la valorisation ou l'élimination des déchets dangereux recevant 10 tonnes par jour
ILEVA - Plate forme broyage Saint-Leu,97413,SAINT-LEU,97424,Traitement et élimination des déchets non dangereux,,
ILEVA - Plateforme compostage Plaine des Cafres,97422,LE TAMPON,97430,Traitement et élimination des déchets non dangereux,5.(c),Installations destinées à l'élimination des déchets non dangereux d'une capacité de 50 tonnes par jour
ECOLYS,97414,SAINT-LOUIS,97450,Traitement et élimination des déchets dangereux,,
SNC Point Net Jamaïque,97411,SAINT-DENIS,97400,Traitement et élimination des déchets dangereux,,
SNC Point Net Bel Air,97414,SAINT-LOUIS,97450,Traitement et élimination des déchets dangereux,,
SYDNE - Plateforme de broyage de Bras-Panon,97402,BRAS-PANON,97412,Traitement et élimination des déchets non dangereux,,
SYDNE- Plateforme de broyage de déchets verts de la Jamaïque,97411,SAINT-DENIS,97490,Traitement et élimination des déchets non dangereux,,
ORTEC SERVICES ENVIRONNEMENT,79191,Niort,79000,Traitement et élimination des déchets dangereux,,
Hennessy - la Vignerie / la Plante,16089,Châteaubernard,16100,Production de boissons alcooliques distillées,,
QUARON,79191,Niort,79026,Commerce de gros (commerce interentreprises) de produits chimiques,,
ATELIERS DU BOCAGE,79050,Bretignolles,79140,Aide par le travail,,
DODY PLAST,86165,Montmorillon,86500,Fabrication d'emballages en matières plastiques,,
M3M,86274,Les Trois-Moutiers,86120,Mécanique industrielle,,
ENGIE (2B) Station Gaz Arinella,2B033,Bastia,20200,Production de combustibles gazeux,,
BUTAGAZ,2B148,Lucciana,20290,Commerce de gros (commerce interentreprises) de combustibles et de produits annexes,,
ENGIE Station Gaz LORETO,2A004,Ajaccio,20000,Production de combustibles gazeux,,
CHIMIREC CORSICA,2B207,Penta-di-Casinca,20213,Traitement et élimination des déchets dangereux,,
Prospera Futura,2A004,Ajaccio,20090,Collecte et traitement des eaux usées,,
SM pour la valorisation des déchets (SYVADEC),2A348,Vico,20160,Traitement et élimination des déchets non dangereux,5.(d),"Décharges, à l'exception des décharges de déchets inertes et des décharges qui ont été définitivement fermées avant le 16 juillet 2001 ou dont la phase de gestion après désaffection requise par les autorités compétentes conformément à l'article 13 de la directive 1999/31/CE du Conseil du 26 avril 1999 concernant la mise en décharge des déchets s'est achevée recevant 10 tonnes par jour ou d'une capacité totale de 25 000 tonnes"
SCI Roissy-SOGARIS,93073,Tremblay-en-France,93290,Location de terrains et d'autres biens immobiliers,,
SUEZ IWS RR CHEMICAL FRANCE,92036,Gennevilliers,92622,Collecte des déchets dangereux,5.(a),Installations pour la valorisation ou l'élimination des déchets dangereux recevant 10 tonnes par jour
REVIVAL LIVRY GARGAN,93046,Livry-Gargan,93190,Récupération de déchets triés,,
REVIVAL IVRY-SUR-SEINE Molière,94041,Ivry-sur-Seine,94200,Récupération de déchets triés,,
Technicentre de Paris Est - SNCF - Site de Noisy le Sec,93053,Noisy-le-Sec,93136,Transport ferroviaire interurbain de voyageurs,,
EQUINIX FRANCE,93066,Saint-Denis,93200,"Traitement de données, hébergement et activités connexes",,
Climespace centrale Auber,75056,Paris,75009,Production et distribution de vapeur et d'air conditionné,,
ECOPUR,92036,Gennevilliers,92230,Traitement et élimination des déchets non dangereux,,
REVIVAL GENNEVILLIERS,92036,Gennevilliers,92230,Démantèlement d'épaves,,
ONERA,91477,Palaiseau,91123,Recherche-développement en autres sciences physiques et naturelles,,
ONERA,73157,Modane,73500,Recherche-développement en autres sciences physiques et naturelles,,
Etablissement de ravitaillement sanitaire des armées de Marseille,13055,Marseille,13568,Défense,,
CRE Satory,78646,Versailles,78005,Défense,,
CRE MONNAIE,37153,Monnaie,37380,Défense,,
CRE SARREBOURG,57630,Sarrebourg,57404,Défense,,
DEA Salon de Provence,13103,Salon-de-Provence,13661,Défense,,
DEA Saint Dizier,52448,Saint-Dizier,52113,Défense,,
DEA CREIL,60175,Creil,60314,Défense,,
DEALAT PAU,64445,Pau,64011,Défense,,
DEA Orange,84087,Orange,84871,Défense,,
DEA DE LUXEUIL,70473,Saint-Sauveur,70301,Défense,,
DEALAT LE CANNET DES MAURES,83031,Le Cannet-des-Maures,83340,Défense,,
Atelier Militaire de Soutien de la Base Navale de Cherbourg,50129,Cherbourg,50115,Réparation et maintenance navale,,
Service des Moyens Portuaires de Cherbourg,50129,Cherbourg,50115,Collecte des déchets dangereux,,
Base aérienne 942 Lyon mont-Verdun,69116,Limonest,69116,Défense,,
Détachement de Douai de la 12e Base de soutien du matériel,59178,Douai,59500,Défense,,
4RMAT Détachement Drauignan,83050,Draguignan,83007,Défense,,
7ième RMAT,38524,Varces-Allières-et-Risset,38760,Défense,,
1er REG Laudun,30141,Laudun,30290,Défense,,
68ième régiment d'artillerie d'Afrique,01142,Dagneux,01120,Défense,,
503ème RT,30189,Nîmes,30972,Défense,,
27e BCA,74010,Annecy,74960,Défense,,
92ième RI,63113,Clermont-Ferrand,63035,Défense,,
GAM/STAT,26064,Chabeuil,26120,Défense,,
13ème BSMAT - Détachement de Moulins,03321,Yzeure,03402,Défense,,
14eme BSMAT de Nouâtre,37174,Nouâtre,37800,Défense,,
8°RMAT - détachement du Matériel de Satory,78646,Versailles,78013,Défense,,
12ème Régiment de Cuirassiers,45232,Olivet,45161,Défense,,
GESSET JEAN ET FILS,18279,Vierzon,18100,Collecte et traitement des eaux usées,5.(a),Installations pour la valorisation ou l'élimination des déchets dangereux recevant 10 tonnes par jour
SCOMA SAS,28214,La Loupe,28240,Fabrication d'autres équipements automobiles,,
VALRECY,28337,Saint-Georges-sur-Eure,28190,Récupération de déchets triés,,
VALRECY,28051,Bonneval,28800,Récupération de déchets triés,,
Laboratoires CHEMINEAU,37281,Vouvray,37210,Fabrication de préparations pharmaceutiques,,
Kuehne + Nagel Saran,45302,Saran,45774,Entreposage et stockage non frigorifique,,
Aperam Alloys Amilly,45004,Amilly,45200,"Fabrication de moteurs, génératrices et transformateurs électriques",,
PAUL ROBERT INDUSTRIE,45169,Ingré,45140,"Découpage, emboutissage",,
STAL INDUSTRIE,41194,Romorantin-Lanthenay,41200,Fabrication de meubles de bureau et de magasin,,
S.A.S DOMO,18109,Henrichemont,18250,Fabrication d'autres articles métalliques,,
VALRECY,18213,Saint-Germain-du-Puy,18390,Récupération de déchets triés,,
VALRECY,37195,La Riche,37520,Récupération de déchets triés,,
VEOLIA SOCCOIM CENTRE PAPIERS,37195,La Riche,37520,Collecte des déchets non dangereux,,
XPOLogistics,45024,Baule,45130,Entreposage et stockage non frigorifique,,
VALRECY,45169,Ingré,45140,Récupération de déchets triés,,
SORIT,37163,Nazelles-Négron,37530,Récupération de déchets triés,,
BARBAT RECYCLAGE,41018,Blois,41000,Démantèlement d'épaves,,
VALRECY,41226,Saint-Ouen,41100,Récupération de déchets triés,,
OAPLF (L'Oréal Luxe France),45169,Ingré,45140,Commerce de gros (commerce interentreprises) de parfumerie et de produits de beauté,,
BS ENVIRONNEMENT,41226,Saint-Ouen,41100,Récupération de déchets triés,,
OFFICE DEPOT,45203,Meung-sur-Loire,45130,Activités des sociétés holding,,
CDS SERVICES,28039,Béville-le-Comte,28700,Traitement et élimination des déchets dangereux,5.(a),Installations pour la valorisation ou l'élimination des déchets dangereux recevant 10 tonnes par jour
CEDRE,45252,Pithiviers,45300,Traitement et élimination des déchets dangereux,,
SOCCOIM (PF ferraille),45067,Chaingy,45380,Récupération de déchets triés,,
AFL HONEYCOMB STRUCTURES,45115,Courtenay,45320,Fabrication de placage et de panneaux de bois,2.(f),Installations de traitement de surface de métaux et des matières plastiques utilisant un procédé électrolytique ou chimique lorsque le volume des cuves affectées au traitement est égal à 30 m3
"Installation de tri, transit, regroupement de St Genis Pouilly",01354,Saint-Genis-Pouilly,01630,Traitement et élimination des déchets non dangereux,,
Laboratoires M&L,07126,Lagorce,07150,Fabrication de parfums et de produits pour la toilette,,
GELPAM SA,26235,Pierrelatte,26701,Fabrication de condiments et assaisonnements,,
VALRHONA site DODET,26179,Mercurol,26600,"Fabrication de cacao, chocolat et de produits de confiserie",,
Sillon Rhodanien Enrobés poste Andancette,26009,Andancette,26140,Fabrication d'autres produits minéraux non métalliques n.c.a.,,
CARRIERE DES CHÊNES,26009,Andancette,26140,"Exploitation de gravières et sablières, extraction d'argiles et de kaolin",3.(b),Extraction à ciel ouvert et exploitation en carrière lorsque la surperficie du site où sont effectuées des opérations d'extraction est égale à 25 hectares
Air Liquide France Industrie,38425,Saint-Maurice-l'Exil,38556,Fabrication de gaz industriels,4.(a).(i),"hydrocarbures simples (linéaires ou cycliques, saturés ou insaturés, aliphatiques ou aromatiques)"
MAJ ELIS Rhone-Alpes,38544,Vienne,38206,Location et location-bail d'autres biens personnels et domestiques,,
SCHNEIDER ELECTRIC ELECTROPOLE,38158,Eybens,38320,Fabrication de matériel d'installation électrique,,
BIEVRE ENROBES,38194,Izeaux,38140,Fabrication d'autres produits minéraux non métalliques n.c.a.,,
DEMECA,42218,Saint-Étienne,42000,Mécanique industrielle,,
Installation de tri des CS de Firminy,42095,Firminy,42700,Traitement et élimination des déchets dangereux,,
KUEHNE-NAGEL,69091,Givors,69700,Entreposage et stockage frigorifique,,
"Installation de tri, transit, regroupement de Quincieux",69163,Quincieux,69650,Récupération de déchets triés,,
JPR METAL COMPANY,69288,Saint-Laurent-de-Mure,69720,Récupération de déchets triés,,
ELIS Rhône-Alpes,69275,Décines-Charpieu,69120,Location et location-bail d'autres biens personnels et domestiques,,
VERDOLINI Recyclage,69271,Chassieu,69280,Récupération de déchets triés,,
STEF Logistique Rhône-Alpes site de Corbas,69273,Corbas,69960,Entreposage et stockage frigorifique,,
SUEZ RV Centre Est Bois,69282,Meyzieu,69330,Récupération de déchets triés,,
Unité séchage boues la Feyssine - Grand Lyon,69266,Villeurbanne,69100,Traitement et élimination des déchets non dangereux,5.(f),Installations de traitement des eaux urbaines résiduaires d'une capacité de 100 000 équivalents habitants
EXCOFFIER SAVOIE,73002,Aiguebelle,73220,Récupération de déchets triés,,
TREZ FRANCE,73002,Aiguebelle,73220,Collecte des déchets non dangereux,5.(a),Installations pour la valorisation ou l'élimination des déchets dangereux recevant 10 tonnes par jour
EXCOFFIER MONT BLANC SARL,74256,Sallanches,74700,Récupération de déchets triés,,
Teissier Technique,74067,Chavanod,74650,Mécanique industrielle,,
Joseph Martin,74312,Vougy,74130,Décolletage,,
SARL Demol'Rochoise,74224,La Roche-sur-Foron,74800,Commerce de détail d'équipements automobiles,,
ALPHA RECYCLAGE FRANCHE-COMTE,39078,Brevans,39100,Récupération de déchets triés,5.(c),Installations destinées à l'élimination des déchets non dangereux d'une capacité de 50 tonnes par jour
KOHLER FRANCE division SANIJURA,39097,Champagnole,39300,Fabrication d'autres meubles et industries connexes de l'ameublement,,
IDMM,39198,Dole,39100,Mécanique industrielle,,
Lons Enrobés,39160,Commenailles,39140,Fabrication d'autres produits minéraux non métalliques n.c.a.,,
TRIADIS SERVICES BEAUFORT,39043,Beaufort,39190,Collecte des déchets dangereux,5.(a),Installations pour la valorisation ou l'élimination des déchets dangereux recevant 10 tonnes par jour
Auchan,16089,Châteaubernard,16100,Hypermarchés,,
AUCHAN LA COURONNE,16015,Angoulême,16400,Hypermarchés,,
CGP INDUSTRIES SAS,63063,Cébazat,63118,Fabrication de papier et de carton,,
SOCAMONT,63233,Montaigut,63700,Fabrication d'autres articles en caoutchouc,,
ENVIRONNEMENT RECYCLING,03101,Domérat,03410,Démantèlement d'épaves,5.(a),Installations pour la valorisation ou l'élimination des déchets dangereux recevant 10 tonnes par jour
SUEZ RV Centre Est Valorisation,03095,Cusset,03300,Récupération de déchets triés,,
